text,likes,comments,shares
"Qatar has transformed its infrastructure in the run up to the World Cup. Millions of South Asians have been employed on building and infrastructure projects, including from Nepal - where families claim safety failures led to the death of their loved ones.

BBC.COM
Qatar World Cup: Families seek answers over migrant worker deaths",724,162,43
"Toomaj Salehi, who backed the anti-government protests, has been charged with ""corruption on Earth"".

BBC.COM
Iranian rapper could face death penalty",556,427,42
"""They're warm and overall energy consumption is reduced so we can link it to lowering CO2 emissions.""

BBC.COM
Wear turtlenecks to cut energy bills, says Tokyo governor",481,200,42
"""The people have spoken. Amnesty begins next week. Vox Populi, Vox Dei.""

BBC.COM
Musk says Twitter to give banned users 'amnesty'",414,436,42
"""Trump has immense strength as a presidential candidate but there are a few things counting against him.""

BBC.COM
Why running for US president in 2024 will be harder for Donald Trump",504,399,42
"Vicky Bowman is among nearly 6,000 prisoners to be released by Myanmar's military.

BBC.COM
Former UK ambassador among prisoners to be freed in Myanmar",770,45,42
"The country is left in political limbo after no coalition gained enough seats to form a government.

BBC.COM
Malaysia elects first ever hung parliament",270,31,41
"It marks a return to divided government in the US, with Democrats still retaining power in the Senate.

BBC.COM
Republicans narrowly win back the House of Representatives",826,312,41
"""It's really difficult for me to trust an outside entity with these relationships and loyalties.""

BBC.COM
'Excruciating' to watch Ticketmaster ticket chaos, says Taylor Swift",1900,255,41
"The campaign impersonated media outlets and activists but had ""little or no engagement"", Meta says.

BBC.COM
Meta claims US military link to online propaganda campaign",321,60,40
"""I don't watch The Crown now because it just makes me so angry. And it's so unfair on members of the Royal Family.""

BBC.COM
Queen's friend says Netflix show The Crown is 'complete fantasy'",1800,740,40
"The passing of a former Chinese leader has fuelled criticism of Xi. Tributes online have been cast as digs at the current president.

BBC.COM
Jiang Zemin's death comes at a fragile moment for China",399,81,40
"""Women and girls have not felt as safe as they should"" on the UK's streets, the PM said.

BBC.COM
UK Prime Minister Rishi Sunak speaks of safety fears for daughter",601,407,40
"The action is on top of four days already announced around the Black Friday shopping weekend.

BBC.COM
Postal workers in UK to strike on six more days in run-up to Christmas",307,233,40
"There are fears that Russian troops, now digging in on the opposite bank of the Dnipro river, may resume shelling.

BBC.COM
Ukrainian authorities impose curfew and restrict travel in and out of Kherson",813,221,40
"Confrontations between pro-Iran government fans and protesters broke out at the country's second World Cup match.

BBC.COM
Iran protesters confronted at World Cup game against Wales",333,197,40
"""From the Russian army to the people of Mariupol.""

BBC.COM
New images show Russian army base built in occupied Ukrainian city of Mariupol",608,641,39
"Friends from Oman who turn CO2 into rock and a UK firm making packaging from seaweed are among the winners.

BBC.COM
Prince William announces five 拢1m Earthshot Prize winners",896,292,39
"The singer praised fans who had waited nearly a year for the postponed show to go ahead.

BBC.COM
Adele kicks off rescheduled Las Vegas residency",1700,112,39
"More than 33,000 fines will be withdrawn or refunded after a court deemed them invalid.

BBC.COM
Australian state scraps thousands of Covid fines",754,147,39
"Hungary's nationalist PM has angered his country's eastern neighbours by wearing a football scarf.

BBC.COM
Viktor Orban 'Greater Hungary' scarf angers Romania and Ukraine",343,208,39
"World of Warcraft, Overwatch, Diablo 3 and other big Activision Blizzard video-game titles will disappear in China in 2023.

BBC.COM
World of Warcraft to go offline in China",532,129,38
"""He loves Australia and it's where he's had the best success.""

BBC.COM
Novak Djokovic Australian visa ban overturned",2300,191,38
"""The main emotions here seem to be patriotism and relief.""

BBC.COM
Inside the Ukrainian city liberated from Russia",1000,278,38
"""At 6am, I got the email. I couldn't access my computer, nor the office gym. It felt like a break-up.""

BBC.COM
Indian tech workers face painful exit from US amid layoffs",501,75,38
"The fee is a fraction of the 拢400,000 he reportedly received for his I'm A Celebrity appearance.

BBC.COM
UK MP Matt Hancock paid 拢45k for SAS reality TV show",409,329,37
"England, Wales and five other European nations planned to wear the armband to promote diversity and inclusion.

BBC.COM
Fifa threatened 'unlimited' sanctions on OneLove armbands at World Cup, says FA",523,596,37
"The former US president, who denies the allegations, is one of the first people to be sued under New York's Adult Survivors Act.

BBC.COM
Donald Trump sued over alleged sexual assault",593,184,36
"The House of Lords is examining plans to increase the number of royals who can act on the King's behalf.

BBC.COM
Calls to block Prince Andrew and Prince Harry as royal stand-ins",562,246,36
"Tuan Tuan was given to Taipei zoo in 2008 before relations between China and Taiwan deteriorated.

BBC.COM
Giant panda gifted to Taiwan by China dies",788,50,36
"""On one side of the world, there is the carnival that is the World Cup, on the other are rules not to visit public places for five days.""

BBC.COM
Zero-Covid China asks: Is World Cup on another planet?",644,143,36
"The country鈥檚 new president has been vocal about plans to leave fossil fuel extraction behind, promising ""a green, not a black future.""

BBC.COM
How Colombia plans to keep its oil and coal in the ground",681,87,36
"After a series of deadly attacks on children, people in one South African township are surrendering their pit bulls.

BBC.COM
'We can't live in a world where dogs eat children'",243,176,35
"Business groups and unions have warned that ditching a wide range of EU laws would create ""significant confusion and disruption"".

BBC.COM
Don't scrap EU rules, UK firms and unions say",399,246,35
"John Cantile is thought to be the only foreign hostage held by Islamic State group who was neither released nor murdered on camera.

BBC.COM
Ten years since IS kidnap of British journalist in Syria",648,87,35
"""They've helped themselves to my artwork without asking, how can it be wrong for you to do the same to their clothes?""

BBC.COM
Banksy accuses clothing brand Guess of stealing artworks",472,90,35
"""Tom was an outstanding academic and researcher, although in his typically modest way he rarely mentioned his significant achievements.""

BBC.COM
Body confirmed as UK professor missing in Chile",1200,95,34
"""All of us want to get to the bottom of what happened,"" the UK prime minister has said at the summit of world leaders.

BBC.CO.UK
UK and allies trying to 'establish facts' behind Poland missile blast, says Rishi Sunak",558,630,34
"Arms dealer Viktor Bout could be exchanged for US basketball player Brittney Griner, who was imprisoned by Russia on drugs charges.

BBC.COM
Russia hopeful for arms dealer prisoner swap with US",269,98,34
"The model and actress has been embroiled in a 'gifts scandal' involving an alleged conman since last year.

BBC.COM
Why Indian officials want to arrest Bollywood star Jacqueline Fernandez",820,68,33
"Bodycam footage shows the moment police officers stepped in to help.

BBC.COM
Man rescued from tracks seconds before incoming train",613,52,33
"""The most heartbreaking thing is that they expected this many people, and they didn't do anything.""

BBC.COM
South Korea's Halloween crush: 'The time to grieve is over, it is time to be angry'",823,61,33
"Machine guns on trucks have been seen heading to one city, amid reports of dozens killed in a week.

BBC.COM
Iran security forces intensify deadly protest crackdown in Kurdish areas",361,79,33
"A jury found the Oath Keepers founder and another member guilty of plotting to stop US President Joe Biden from taking office.

BBC.COM
Two members of far-right US militia guilty of rare charge of sedition",694,225,32
"The shipments will begin to arrive next week amid a months-long shortage of the drugs in the country.

BBC.COM
Canada to get foreign supply of children's pain medication",383,44,32
"Visitors to the outdoor pool have been urged to take shorter swims now temperatures have dropped.

BBC.COM
Lido sees one hypothermia case a day",315,77,31
"Rabindranath Tagore 鈥?India鈥檚 most famous poet - had gifted five paintings to Germany in 1930, which were removed from a leading museum in Berlin seven years later by Hitler.

BBC.COM
Rabindranath Tagore: When Hitler purged India Nobel laureate's paintings",275,65,31
"The Queen Consort will have longstanding friends among her new assistants, who will be known under a new title.

BBC.COM
Camilla to scrap tradition of ladies-in-waiting",302,237,31
"New details of the attack, which killed six, including a note from the gunman's phone have been released by officials.

BBC.COM
Weapon purchased morning of attack of US Walmart shooting, officials say",119,39,31
"The wife of a Chinese lawyer detained as a dissident has described her heart-rending decision to flee to the US.

BBC.COM
'I had to choose between my husband and my children'",553,72,31
"The team had stayed silent before their opening match with England in an apparent expression of support for anti-government protests.

BBC.COM
Iran fans boo as players sing national anthem before World Cup game against Wales",434,194,31
"The comedian appeared to destroy wads of banknotes in an industrial shredder in a clip posted on Twitter.

BBC.COM
Joe Lycett 'shreds' 拢10k in David Beckham Qatar protest",573,523,31
"""It's one the most significant things that has ever happened to me.""

BBC.COM
The man who secretly composed the Queen's funeral music",631,77,30
"Police are convinced a woman has been murdered: the problem is no-one has been reported missing.

BBC.COM
French mystery over Normandy murder without victim's body",390,40,30
"Pay rose at its fastest rate outside the pandemic but continued to lag behind the cost of living, official figures have shown.

BBC.COM
UK wages rise at fastest rate in more than 20 years",600,229,30
"He previously said he wouldn't have become president without the platform.

BBC.COM
Why Trump isn't returning to Twitter (for now)",225,135,30
"""We will not accept this ceiling.""

BBC.COM
Russia rejects oil price cap imposed by West",908,673,29
"The Democrats currently control Congress and the White House, but that will change in January.

BBC.COM
What Washington's divided government means for Biden",240,84,29
"""If they can find an alternative place to stay for another three or four months, it will be very helpful to the system.""

BBC.COM
Leave if you can to save energy, says Ukraine power boss",569,216,29
"Waitrose said it was ""sorry for the upset caused"".

BBC.COM
UK supermarket apologises after Christmas advert criticism",863,435,29
"It was the first ever tie in the 25-year history of the awards, which celebrates black music and culture.

BBC.COM
Little Simz and Knucks named joint winners for best album at Mobo Awards",910,235,28
"Shamima Begum had her British citizenship removed by the UK government after leaving the UK to join the Islamic State group.

BBC.COM
How can you lose your citizenship?",609,807,28
"""They just couldn't operate. They were really struggling to get basic things done.""

BBC.COM
Hackers leave entire country's government offline for over a week",228,44,27
"A video from 2019 of the now-Italian prime minister accusing France of ""exploiting"" African countries has been widely shared on social media.

BBC.COM
Fact-checking Italy PM Giorgia Meloni's claim about France",306,228,27
"""Bringing the species back from the 鈥榙ead鈥?is the result of collaborative conservation work.""

BBC.COM
Leonardo DiCaprio praises UK zoo's conservation work",616,76,26
"The biggest win on climate since the Paris Agreement in 2015... or the biggest loss?

BBC.COM
Five key takeaways from COP27",155,168,26
"Bath City striker Alex Fletcher had been in intensive care after colliding with advertising hoardings.

BBC.COM
Footballer out of hospital after brain surgery",797,78,26
"All four teams in the group could still qualify for the knockout stages in Qatar - so how could they do it?

BBC.COM
What England and Wales need to do to qualify in the World Cup",327,82,26
"This comes after Twitter reinstated former US President Donald Trump and rapper Ye's accounts.

BBC.COM
Twitter charity partners condemn Musk's 'dangerous' changes",535,227,25
"From how you heat your home to where you shop, the UK's links to Qatar may be part of your day-to-day life.

BBC.COM
How Qatar鈥檚 riches touch millions of UK lives",301,66,25
"""It was absolutely agony - it felt like my leg was on fire.""

BBC.COM
Woman sues Nando's after skin 'melted' by detergent",705,134,25
"""We'll do everything to preserve these works of street art as a symbol of our victory.""

BBC.COM
Police stop group trying to steal Banksy mural from Ukraine wall",435,87,25
"Villa Rose is near the presidential palace and is popular with government officials.

BBC.COM
Key hotel in Somalia stormed by al-Shabab",303,62,24
"One station saw over 40 million passengers pass through in under a year, while another saw just 40. 馃殕

BBC.COM
Busiest railway stations in Britain revealed",333,20,24
"It comes after the country warned of a ""fiercer"" response to US plans to strengthen its regional presence.

BBC.COM
North Korea fires suspected ICBM into sea",162,113,23
"""I have lost the most important person in my life and it happened so sudden and unexpected.""

BBC.COM
World Cup pundit Nadia Nadim reveals mother's death after leaving TV broadcast",983,103,22
"The case was brought by campaign group Make It 16, which wants the voting age reduced to include 16 and 17 year olds.

BBC.COM
New Zealand Supreme Court rules voting age of 18 is discriminatory",296,167,22
"Eighty-year-old President Teodoro Obiang Nguema Mbasogo is seeking to continue his 43-year rule in Equatorial Guinea.

BBC.COM
World's longest-serving president eyes re-election",201,63,22
"""They were trolling her obituary, literally.""

BBC.COM
New 'documentary' falsely blames Covid vaccines for deaths of young people",219,345,21
"Addressing Beckham directly, he said: ""I never expected to hear from you.""

BBC.COM
Joe Lycett reveals truth behind David Beckham Qatar World Cup 拢10k shredding",400,265,20
"Gang members took staff hostage and exchanged fire with police before they were arrested.

BBC.COM
Gunmen storm Ecuador hospital in attempt to kill teen",221,25,19
"Authorities shut down the museum - which mainly displayed some agricultural tools and garments - and arrested the men who set it up.

BBC.COM
'Miya' Museum: The controversy around Assam's 'Muslim' museum",220,46,19
"Russia's isolation from sport is one of the many consequences of its war in Ukraine, the BBC's Russia Editor Steve Rosenberg says.

BBC.COM
From 2018 World Cup host to global pariah",1000,340,19
"It ends months of speculation over who would land what many see as the country's most powerful job.

BBC.COM
Pakistan's former spy chief Asim Munir named as army head",172,69,17
"Tens of thousands of people have exchanged theories and possible ""clues"" in the case of four murdered students.

BBC.COM
Amateur web sleuths hindering efforts to solve murders, say police",824,48,17
"""I lost the money, the dream, the trip. I lost everything.""

BBC.COM
'My dream holiday was a $30,000 scam'",494,74,17
"The Waitrose commercial was criticised by skin cancer patients after its initial airing.

BBC.COM
UK supermarket changes Christmas advert after complaints",415,250,17
"The students, all aged 20 or 21, were found stabbed to death in a home in November.

BBC.COM
Rumours, 'clues' and online detectives in case of Idaho student murders",404,14,16
"A court fined the far-right leader's party and said its complaint was made in ""bad faith"".

BBC.COM
Brazil court rejects Bolsonaro party complaint over vote",436,44,16
"The case, described as ""murder most foul"", is transfixing the country.

BBC.COM
India gripped by gruesome 'fridge murder'",437,52,16
"The 30-year-old was removed from the plane before take-off at Miami Airport, police said.

BBC.COM
Super Bowl winner Beckham Jr removed from plane",698,131,11
"Families of those killed in the Morbi bridge collapse last month in the western Indian state of Gujarat question why there has been no action against the culprits.

BBC.COM
Morbi bridge collapse: Victims wait for answers month after tragedy",204,23,10
